2,Gadiformes,Macrouridae,Trachyrincus,SPECIES,Trachyrincus murrayi,2415968
88,Gadiformes,Merlucciidae,Merluccius,SPECIES,Merluccius albidus,2415661
101913,Gadiformes,Merlucciidae,Merluccius,SPECIES,Merluccius bilinearis,2415637
24,Gadiformes,Moridae,Antimora,SPECIES,Antimora rostrata,2417115
2,Gadiformes,Moridae,,FAMILY,Moridae,3704
1,Gadiformes,Moridae,Gadella,SPECIES,Gadella imberbis,2417083
5,Gadiformes,Moridae,Halargyreus,SPECIES,Halargyreus johnsonii,2417127
5,Gadiformes,Moridae,Laemonema,SPECIES,Laemonema barbatulum,5215399
2,Gadiformes,Phycidae,Phycis,SPECIES,Phycis chesteri,5214921
1952,Gadiformes,Phycidae,Phycis,SPECIES,Urophycis chesteri,2415714
10,Gadiformes,Phycidae,Urophycis,GENUS,Urophycis,2415715
16740,Gadiformes,Phycidae,Urophycis,SPECIES,Urophycis chuss,2415718
206,Gadiformes,Phycidae,Urophycis,SPECIES,Urophycis regia,2415740
17442,Gadiformes,Phycidae,Urophycis,SPECIES,Urophycis tenuis,2415734
73,Gasterosteiformes,Gasterosteidae,Apeltes,SPECIES,Apeltes quadracus,5204681
24,Gasterosteiformes,Gasterosteidae,Gasterosteus,SPECIES,Gasterosteus aculeatus,4286327
1,Gasterosteiformes,Gasterosteidae,Gasterosteus,SPECIES,Gasterosteus wheatlandi,2356547
24,Gasterosteiformes,Gasterosteidae,Pungitius,SPECIES,Pungitius pungitius,5739510
1,Neogastropoda,Buccinidae,Beringius,SPECIES,Beringius turtoni,2304960
3,Neogastropoda,Buccinidae,Buccinum,SPECIES,Buccinum scalariforme,2305022
420,Neogastropoda,Buccinidae,Buccinum,SPECIES,Buccinum undatum,2305073
223,Neogastropoda,Buccinidae,Buccinum,GENUS,Buccinum,2305012
39,Neogastropoda,Buccinidae,,FAMILY,Buccinidae,2696
115,Neogastropoda,Buccinidae,Neptunea,SPECIES,Neptunea decemcostata,2304672
1015,Neogastropoda,Busyconidae,Busycon,SPECIES,Busycon carica,2302937
1,Neogastropoda,Busyconidae,Busycon,SUBSPECIES,Busycon carica eliceans,6181578
1,Neogastropoda,Busyconidae,Busycon,GENUS,Busycon,2302924
710,Neogastropoda,Busyconidae,Busycotypus,SPECIES,Busycotypus canaliculatus,2302958
1,Neogastropoda,Busyconidae,,FAMILY,Busyconinae,6141889
8,Neogastropoda,Busyconidae,Sinistrofulgur,SPECIES,Sinistrofulgur laeostomum,7886441
1,Neogastropoda,Colidae,Colus,SPECIES,Colus pygmaeus,5193502
31,Neogastropoda,Colidae,Colus,SPECIES,Colus stimpsoni,5193520
44,Neogastropoda,Colidae,Colus,GENUS,Colus,2304824
43,Neogastropoda,Columbellidae,Astyris,SPECIES,Astyris lunata,2305739
8,Neogastropoda,Columbellidae,Costoanachis,SPECIES,Costoanachis avara,2305783
69,Neogastropoda,Columbellidae,Costoanachis,SPECIES,Costoanachis translirata,6506364
1,Neogastropoda,Columbellidae,Costoanachis,GENUS,Costoanachis,2305779
6,Neogastropoda,Mangeliidae,Kurtziella,SPECIES,Kurtziella cerina,2303529
1,Neogastropoda,Mangeliidae,Propebela,SPECIES,Propebela harpularia,2303696
14,Neogastropoda,Mangeliidae,Pyrgocythara,SPECIES,Pyrgocythara plicosa,2303887
3,Neogastropoda,Marginellidae,Prunum,GENUS,Prunum,3246628
4,Neogastropoda,Marginellidae,Prunum,SPECIES,Prunum roscidum,5193370
113,Neogastropoda,Muricidae,Eupleura,SPECIES,Eupleura caudata,2304460
830,Neogastropoda,Muricidae,Nucella,SPECIES,Nucella lapillus,5193449
390,Neogastropoda,Muricidae,Urosalpinx,SPECIES,Urosalpinx cinerea,2304415
1254,Neogastropoda,Nassariidae,Ilyanassa,SPECIES,Ilyanassa obsoleta,2302982
458,Neogastropoda,Nassariidae,Ilyanassa,SPECIES,Ilyanassa trivittata,2303000
3,Neogastropoda,Nassariidae,Nassa,GENUS,Nassa bivittata,2302960
10,Neogastropoda,Nassariidae,Phrontis,SPECIES,Phrontis vibex,8652815
1,Neogastropoda,,,ORDER,Neogastropoda,982
1,Neogastropoda,Terebridae,Neoterebra,SPECIES,Neoterebra concava,10925988
2,Neogastropoda,Terebridae,Neoterebra,SPECIES,Neoterebra dislocata,10767015
2,Chimaeriformes,Chimaeridae,Hydrolagus,SPECIES,Hydrolagus affinis,5215471
18,Chimaeriformes,Rhinochimaeridae,Harriotta,SPECIES,Harriotta raleighana,2417430
9,Chimaeriformes,Rhinochimaeridae,Rhinochimaera,SPECIES,Rhinochimaera atlantica,2417443
5,Lophiiformes,Antennariidae,Histrio,SPECIES,Histrio histrio,5214666
2999,Lophiiformes,Lophiidae,Lophius,SPECIES,Lophius americanus,2415069
13,Lophiiformes,Ogcocephalidae,Dibranchus,SPECIES,Dibranchus atlanticus,2414913
1,Lophiiformes,Ogcocephalidae,Halieutichthys,GENUS,Halieutichthys,2415007
1,Mugiliformes,Mugilidae,Mugil,GENUS,Mugil,7822511
6,Mugiliformes,Mugilidae,Mugil,SPECIES,Mugil cephalus,8189568
35,Mugiliformes,Mugilidae,Mugil,SPECIES,Mugil curema,2400641
85,Myctophiformes,Myctophidae,Benthosema,SPECIES,Benthosema glaciale,2406057
7,Myctophiformes,Myctophidae,Benthosema,GENUS,Benthosema,2406056
13,Myctophiformes,Myctophidae,Ceratoscopelus,SPECIES,Ceratoscopelus maderensis,2406043
33,Myctophiformes,Myctophidae,Diaphus,SPECIES,Diaphus dumerilii,2406248
611,Myctophiformes,Myctophidae,,FAMILY,Myctophidae,4217
94,Myctophiformes,Myctophidae,Hygophum,SPECIES,Hygophum hygomi,5213288
27,Myctophiformes,Myctophidae,Lampanyctus,SPECIES,Lampanyctus macdonaldi,2405998
2,Myctophiformes,Myctophidae,Lepidophanes,SPECIES,Lepidophanes guentheri,2405710
21,Myctophiformes,Myctophidae,Myctophum,SPECIES,Myctophum punctatum,2405855
11,Myctophiformes,Myctophidae,Notoscopelus,GENUS,Notoscopelus,2406092
1,Myctophiformes,Myctophidae,Notoscopelus,SPECIES,Notoscopelus kroyeri,2406108
